corpus,chunk1,chunk2,chunk3,chunk4,chunk5
kényszerérett,kény,szer,érett,,
váltótörvényszék,váltó,törvény,szék,,
illatszerkészítő,illat,szer,készítő,,
tengerészszolgálat,teng,erész,szolgálat,,
örökhaszonbérlet,örök,haszon,bérlet,,
gyerekelőadás,gyere,kelő,adás,,
fogószerszám,fogó,szer,szám,,
lakókocsitábor,lakó,kocsi,tábor,,
klikkrendszer,klikk,rend,szer,,
ólomfehérgyártás,ólom,fehér,gyártás,,
kötőalkatrész,kötő,alkat,rész,,
kalóriatartalom,kalória,tart,alom,,
virágfüzérdísz,virág,füzér,dísz,,
vörösvérsejtszám,vörös,vérsejt,szám,,
rózsafüzérszem,rózsa,füzér,szem,,
neonfényreklám,neon,fény,reklám,,
kerékrendszer,kerék,rend,szer,,
egyenletrendszer,egyenlet,rend,szer,,
dugóhúzómentes,dugó,húzó,mentes,,
olajtüzelőanyag,olaj,tüzelő,anyag,,
széntartalom,szén,tart,alom,,
pipaszárlábak,pipa,szár,lábak,,
kormányrendszer,kormány,rend,szer,,
selyemhernyógubó,selyem,hernyó,gubó,,
szénvagyoncsökkenés,szén,vagyon,csökkenés,,
szakközépiskola,szak,közép,iskola,,
parasztforradalom,paraszt,forrad,alom,,
nyelvészkongresszus,nyel,vész,kongresszus,,
tartalommutató,tart,alom,mutató,,
szélmalomszárny,szél,malom,szárny,,
élelmiszerbolt,élelmi,szer,bolt,,
keresztrejtvény,kereszt,rejt,vény,,
teknősbékahalász,teknős,béka,halász,,
kapacitálható,kapa,citál,ható,,
oszlopsortalapzat,oszlop,sort,alapzat,,
hangversenyzongora,hang,verseny,zongora,,
szélvédőüveg,szél,védő,üveg,,
keresztszelvény,kereszt,szel,vény,,
kazánkőoldószer,kazánkő,oldó,szer,,
szeghúzófogó,szeg,húzó,fogó,,
kényszerkézbesítés,kény,szer,kézbesítés,,
páraképződésgátló,pára,képződés,gátló,,
öntőformakeret,öntő,forma,keret,,
könyvkötővászon,könyv,kötő,vászon,,
ásványszaktudós,ásvány,szak,tudós,,
helytartósági,hely,tartó,sági,,
értéktöbbletráta,érték,többlet,ráta,,
festékesdoboz,fest,ékes,doboz,,
nyírfajdtyúk,nyír,fajd,tyúk,,
jegyszelvény,jegy,szel,vény,,
tolóablakretesz,toló,ablak,retesz,,
nyakkendőcsíptető,nyak,kendő,csíptető,,
földrengéstudós,föld,rengés,tudós,,
kényszervágás,kény,szer,vágás,,
autószemüveg,autó,szem,üveg,,
tisztviselőféle,tiszt,viselő,féle,,
agyonrejtjelez,agyon,rejt,jelez,,
szentírásmagyarázó,szent,írás,magyarázó,,
csíkrendszabó,csík,rend,szabó,,
szakadásálló,szak,adás,álló,,
vaníliaültetvény,vanília,ültet,vény,,
partraszállóhely,partra,szálló,hely,,
szívbántalom,szív,bánt,alom,,
településhely,telep,ülés,hely,,
szerszámedző,szer,szám,edző,,
szélerősségmérő,szél,erősség,mérő,,
szeméremsértő,szem,érem,sértő,,
reményvesztett,remény,vesz,tett,,
súlybarométer,súly,barom,éter,,
szerszámláda,szer,szám,láda,,
ugrásfüggvény,ugrás,függ,vény,,
olajültetvény,olaj,ültet,vény,,
kábítószerárus,kábító,szer,árus,,
tengerészaltiszt,teng,erész,altiszt,,
harckocsiárok,harc,kocsi,árok,,
hazatranszportál,haza,transz,portál,,
bolyhozóhenger,boly,hozó,henger,,
világéletében,világ,élet,ében,,
köztelekrész,közt,elek,rész,,
gyeptéglavágó,gyep,tégla,vágó,,
nyakkendőcsíptető,nyakkendő,csíp,tető,,
fényérzékenységmérés,fény,érzékenység,mérés,,
kézimunkáskosár,kézi,munkás,kosár,,
motorüzemanyag,motor,üzem,anyag,,
hangszerszóló,hang,szer,szóló,,
futballszakértő,futball,szak,értő,,
földrengésjelző,föld,rengés,jelző,,
kényszermunka,kény,szer,munka,,
csavarmenetvágó,csavar,menet,vágó,,
testszelvény,test,szel,vény,,
erkölcsrendőrség,erkölcs,rend,őrség,,
harmatpontgörbe,harmat,pont,görbe,,
szempillafesték,szem,pilla,festék,,
jobbágyrendszer,jobbágy,rend,szer,,
csontrendszer,csont,rend,szer,,
fajdkakasvadászat,fajd,kakas,vadászat,,
szélmalomkerék,szél,malom,kerék,,
nyugtaszelvény,nyugta,szel,vény,,
tengerészcsizma,teng,erész,csizma,,
kávépörkölés,kávé,pörk,ölés,,
kényszeregyezség,kény,szer,egyezség,,
szikkativitás,szik,kati,vitás,,
szerszámbélés,szer,szám,bélés,,
földrengésbiztos,föld,rengés,biztos,,
gyepszínvágó,gyep,szín,vágó,,
katapultülés,kata,pult,ülés,,
tekintélyrendszer,tekintély,rend,szer,,
államrendőrség,állam,rend,őrség,,
mozaikrejtvény,mozaik,rejt,vény,,
mikrofilmkópia,mikro,film,kópia,,
vénuszlégycsapó,vénusz,légy,csapó,,
hamiskártyázás,hamis,kárty,ázás,,
közbeszólaltat,közbe,szól,altat,,
záródíszrajzoló,záró,dísz,rajzoló,,
fenyőkátrányolaj,fenyő,kátrány,olaj,,
hangsúlyozottan,hang,súlyoz,ottan,,
munkásszakszervezet,munkás,szak,szervezet,,
labdarúgópálya,labda,rúgó,pálya,,
tetőcsomagtartó,tető,csomag,tartó,,
bálnavadászhajó,bálna,vadász,hajó,,
érzékelőrendszer,érzékelő,rend,szer,,
kecskeszemtölgyfa,kecske,szem,tölgyfa,,
szilveszteri,szil,vesz,teri,,
szertartásmester,szer,tartás,mester,,
szelvényrajz,szel,vény,rajz,,
csipkeverőpárna,csipke,verő,párna,,
gerendacsatlakozás,gerenda,csat,lakozás,,
autóbuszsofőr,autó,busz,sofőr,,
szorítószerelvény,szorító,szerel,vény,,
profirendszer,profi,rend,szer,,
hegyrendszer,hegy,rend,szer,,
fenéksúlytartály,fenék,súly,tartály,,
gyalomhálózsák,gyalom,háló,zsák,,
vágányrendszer,vágány,rend,szer,,
ciprusültetvény,ciprus,ültet,vény,,
szivattyúszívólyuk,szivattyú,szívó,lyuk,,
fúrólyukszelvény,fúrólyuk,szel,vény,,
fúrólyukszelvény,fúró,lyuk,szelvény,,
vonatszerelvény,vonat,szerel,vény,,
szívizomgyulladás,szív,izom,gyulladás,,
szívszakorvos,szív,szak,orvos,,
karabinerszem,kara,biner,szem,,
csaplyukfúró,csap,lyuk,fúró,,
pápaszemüveg,pápa,szem,üveg,,
végigcsónakázik,végig,csónak,ázik,,
részmunkaidős,rész,munka,idős,,
tengerészzászlós,teng,erész,zászlós,,
páratartalommérő,pára,tartalom,mérő,,
kézimunkaasztal,kézi,munka,asztal,,
izomrendszer,izom,rend,szer,,
szeretetteli,szer,etet,teli,,
zarándokkalap,zarán,dokk,alap,,
olajszintjelző,olaj,szint,jelző,,
tengerészhadapród,teng,erész,hadapród,,
hadifogolycsere,hadi,fogoly,csere,,
kegyvesztett,kegy,vesz,tett,,
gombaszakértő,gomba,szak,értő,,
képzettartalom,képzet,tart,alom,,
irányszögmérő,irány,szög,mérő,,
autópályagyűrű,autó,pálya,gyűrű,,
gondolatrendszer,gondolat,rend,szer,,
gondolatrendszer,gondola,trend,szer,,
központszögmérő,központ,szög,mérő,,
autóbuszváróhely,autóbusz,váró,hely,,
vészjelzőcsengő,vész,jelző,csengő,,
méregtartalom,méreg,tart,alom,,
aknarakodóhely,akna,rakodó,hely,,
szakmunkásképzés,szak,munkás,képzés,,
csajkarendszer,csajka,rend,szer,,
kényszertakarékosság,kény,szer,takarékosság,,
légitámaszpont,légi,támasz,pont,,
csaplyukvéső,csap,lyuk,véső,,
fordulatszámmérő,fordulat,szám,mérő,,
vonalrendszer,vonal,rend,szer,,
színhibamentes,szín,hiba,mentes,,
szótaghangsúly,szótag,hang,súly,,
magánszínjátszás,magán,szín,játszás,,
csapszegszán,csap,szeg,szán,,
kényszerdobás,kény,szer,dobás,,
szemüvegkészítő,szem,üveg,készítő,,
anyagtakarékossági,anyag,takarékos,sági,,
csapszegfúró,csap,szeg,fúró,,
élelmiszeripar,élelmi,szer,ipar,,
ablaküvegtábla,ablak,üveg,tábla,,
szeretetotthon,szer,etet,otthon,,
harckocsiakna,harc,kocsi,akna,,
mezőgazdasági,mező,gazda,sági,,
tengerészruha,teng,erész,ruha,,
szerszámszán,szer,szám,szán,,
szervrendszer,szerv,rend,szer,,
lágytojásfőző,lágy,tojás,főző,,
csonttömörülés,csont,tömör,ülés,,
székpénzszedő,szék,pénz,szedő,,
gyomirtószer,gyom,irtó,szer,,
lángkemencefenék,láng,kemence,fenék,,
folttisztítószer,folt,tisztító,szer,,
végigfesteget,végig,fest,eget,,
végigáramoltat,végig,áram,oltat,,
szerszámostáska,szer,számos,táska,,
pályaszelvény,pálya,szel,vény,,
sárgarigófészek,sárga,rigó,fészek,,
hadihajószín,hadi,hajó,szín,,
értékszelvény,érték,szel,vény,,
szürkemókusprém,szürke,mókus,prém,,
szakszempont,szak,szem,pont,,
agyonköszörül,agyon,kösz,örül,,
tizedmásodperc,tized,másod,perc,,
filmdózismérő,film,dózis,mérő,,
lakatosszerszám,lakatos,szer,szám,,
rasztermélynyom,raszter,mély,nyom,,
csekkszelvény,csekk,szel,vény,,
forgásszámmérő,forgás,szám,mérő,,
vértörvényszék,vért,örvény,szék,,
fehérneműszekrény,fehér,nemű,szekrény,,
fecskefarkkötés,fecske,fark,kötés,,
gazdaszervezet,gazda,szer,vezet,,
csapszegvágó,csap,szeg,vágó,,
kutyaszánutazás,kutya,szán,utazás,,
etilszénhidrogén,etil,szén,hidrogén,,
asztalosszerszám,asztalos,szer,szám,,
kulcslyukpajzs,kulcs,lyuk,pajzs,,
bankjegycsomó,bank,jegy,csomó,,
tengerészélet,teng,erész,élet,,
cukorfinomítógyár,cukor,finomító,gyár,,
kábítószerüzér,kábító,szer,üzér,,
kényszerárfolyam,kény,szer,árfolyam,,
szerszámkosár,szer,szám,kosár,,
őszibarackvirág,őszi,barack,virág,,
tengerésznyelv,teng,erész,nyelv,,
szívszélhűdés,szív,szél,hűdés,,
tengerészcsomó,teng,erész,csomó,,
fénytörésmérő,fény,törés,mérő,,
kardhüvelytáska,kard,hüvely,táska,,
szegmentzsilipkapu,szeg,ment,zsilipkapu,,
szakszervezet,szak,szer,vezet,,
tonnatartalom,tonna,tart,alom,,
húgyvezetékmetszés,húgy,vezeték,metszés,,
rendszergenerálás,rend,szer,generálás,,
búvárszemüveg,búvár,szem,üveg,,
másodpercmutató,másod,perc,mutató,,
tanyarendszer,tanya,rend,szer,,
szerelvényvágány,szerel,vény,vágány,,
dugattyúcsapszeg,dugattyú,csap,szeg,,
cseppfolyósítható,csepp,folyósít,ható,,
kormánytőkesaru,kormány,tőke,saru,,
menyasszonyavatás,meny,asszony,avatás,,
üzemanyagcella,üzem,anyag,cella,,
tollszárfogás,toll,szár,fogás,,
rajzszéntartó,rajz,szén,tartó,,
darabbérrendszer,darabbér,rend,szer,,
patkányirtószer,patkány,irtó,szer,,
tengerészzubbony,teng,erész,zubbony,,
sólyaszánkótalp,sólya,szánkó,talp,,
hólabdarendszer,hólabda,rend,szer,,
élelmiszercsomag,élelmi,szer,csomag,,
végigszemetel,végig,szem,etel,,
védővámrendszer,védővám,rend,szer,,
csillagrendszer,csillag,rend,szer,,
hólyagbántalom,hólyag,bánt,alom,,
atomrendszám,atom,rend,szám,,
szovjetrendszer,szovjet,rend,szer,,
pontfénylámpa,pont,fény,lámpa,,
tengerészmesterség,teng,erész,mesterség,,
fehérneműanyag,fehér,nemű,anyag,,
kényszerhuzat,kény,szer,huzat,,
alagútszelvény,alagút,szel,vény,,
szeretetteljesség,szer,etet,teljesség,,
gyújtólyukfedő,gyújtó,lyuk,fedő,,
kényszerlépés,kény,szer,lépés,,
hazaáramoltat,haza,áram,oltat,,
nyergesszerszám,nyerges,szer,szám,,
szemfényvesztés,szem,fény,vesztés,,
hanglemezszakértő,hanglemez,szak,értő,,
vendéglátóhely,vendég,látó,hely,,
erőszakszervezet,erőszak,szer,vezet,,
bankjegyköteg,bank,jegy,köteg,,
forgótengelycsap,forgó,tengely,csap,,
szerszámkészítő,szer,szám,készítő,,
helycserélősdi,hely,cser,élősdi,,
kényszermunkás,kény,szer,munkás,,
ócskaruhapiac,ócska,ruha,piac,,
autósszemüveg,autós,szem,üveg,,
élelmiszerjegy,élelmi,szer,jegy,,
tengerészújonc,teng,erész,újonc,,
sajtóhibajegyzék,sajtó,hiba,jegyzék,,
illatszerbolt,illat,szer,bolt,,
halászszerszám,halász,szer,szám,,
életfenntartás,élet,fenn,tartás,,
féreghajtószer,féreg,hajtó,szer,,
zongorahangverseny,zongora,hang,verseny,,
szerszámoskamra,szer,számos,kamra,,
hajtüszőatka,hajt,üsző,atka,,
rádióvevőkészülék,rádió,vevő,készülék,,
szennycsatornarendszer,szennycsatorna,rend,szer,,
kardvívóbajnok,kard,vívó,bajnok,,
kormánysúlyzsák,kormány,súly,zsák,,
harcálláspont,harc,állás,pont,,
csúcsfénylámpa,csúcs,fény,lámpa,,
kötőszalaglazulás,kötő,szalag,lazulás,,
tengermélységmérő,tenger,mélység,mérő,,
zsebpartitúra,zseb,parti,túra,,
fúrószerszám,fúró,szer,szám,,
agyontáncoltat,agyon,tánc,oltat,,
szakértőcsoport,szak,értő,csoport,,
zsebcsatahajó,zseb,csata,hajó,,
szemüvegkeret,szem,üveg,keret,,
szakaszhangsúly,szakasz,hang,súly,,
olajbogyószüret,olaj,bogyó,szüret,,
hangszerjátékos,hang,szer,játékos,,
rendszerszervezés,rend,szer,szervezés,,
részvényköteg,rész,vény,köteg,,
lombfűrészmunka,lomb,fűrész,munka,,
labdarúgócsapat,labda,rúgó,csapat,,
szabadalombitorlás,szabad,alom,bitorlás,,
szélirányjelző,szél,irány,jelző,,
kézimunkaolló,kézi,munka,olló,,
présszerszám,prés,szer,szám,,
félremagyarázható,félre,magyaráz,ható,,
mellhártyagyulladás,mell,hártya,gyulladás,,
ökölvívómérkőzés,ököl,vívó,mérkőzés,,
pártszervezet,párt,szer,vezet,,
haditengerész,hadi,teng,erész,,
bankjegyhamisítás,bank,jegy,hamisítás,,
fényerősségmérő,fény,erősség,mérő,,
részvényjegyző,rész,vény,jegyző,,
élelmiszerosztály,élelmi,szer,osztály,,
élelmiszervizsgáló,élelmi,szer,vizsgáló,,
nyakkendőgyűrű,nyak,kendő,gyűrű,,
kényszerképzetes,kény,szer,képzetes,,
hangjegyvonalzó,hang,jegy,vonalzó,,
nyelvföldrajz,nyelv,föld,rajz,,
majomszeretet,majom,szer,etet,,
bankrészvény,bank,rész,vény,,
sorsjegyhúzás,sors,jegy,húzás,,
fenyőültetvény,fenyő,ültet,vény,,
motorcsónakázás,motor,csónak,ázás,,
világszínvonal,világ,szín,vonal,,
csillagboltozaton,csillag,boltoz,aton,,
világszervezet,világ,szer,vezet,,
negyedhangjegy,negyed,hang,jegy,,
füstmennyiségmérő,füst,mennyiség,mérő,,
szénpilléromlás,szén,pillér,omlás,,
forgácsolószerszám,forgácsoló,szer,szám,,
agyonfogyókúra,agyon,fogyó,kúra,,
pénzverőtüske,pénz,verő,tüske,,
labdarúgósport,labda,rúgó,sport,,
labdarúgósport,labda,rúgós,port,,
segédszolgálatos,segéd,szolgál,atos,,
szűrőprésiszap,szűrő,prés,iszap,,
hálószobabútor,háló,szoba,bútor,,
mérnökszakértő,mérnök,szak,értő,,
szerzsettszövet,szer,zsett,szövet,,
hangjegykulcs,hang,jegy,kulcs,,
széntelepülés,szén,telep,ülés,,
államrendszer,állam,rend,szer,,
szúnyoghálószövet,szúnyog,háló,szövet,,
földhitelintézet,föld,hitel,intézet,,
autóbuszvezető,autó,busz,vezető,,
gumiültetvény,gumi,ültet,vény,,
szerelvényterhelés,szerel,vény,terhelés,,
szegycsontvelő,szegy,csont,velő,,
törzsszelvény,törzs,szel,vény,,
vízvezetékrendszer,vízvezeték,rend,szer,,
