count_of_chunks,corpus,chunk1,chunk2,euclidean_distance_chunk1_and_chunk2,euclidean_corpus_and_chunk1,euclidean_corpus_and_chunk2,euclidean_corpus_and_all_chunks,length_corpus,length_chunk1,length_chunk2,logfreq_corpus,logfreq_chunk1,logfreq_chunk2
2,hozott,hoz,ott,9.579652786254883,12.679362297058105,14.823955535888672,8.662325859069824,6,3,3,4.336759833698248,4.024772913079632,5.565865520533478
2,azóta,az,óta,11.844222068786621,13.452603340148926,16.170719146728516,6.500338554382324,5,2,3,4.3366398186416895,6.741609849017849,4.716504163773217
2,végén,vég,én,9.279319763183594,12.410238265991211,15.192159652709961,4.349227428436279,5,3,2,4.335939069031729,3.5085297189712867,6.157086084559995
2,jutott,jut,ott,10.056892395019531,12.545482635498047,14.33237075805664,4.193057060241699,6,3,3,4.332115143703462,4.273649334723605,5.565865520533478
2,üzenetet,üzen,etet,14.5347318649292,8.334367752075195,20.856922149658203,7.313482761383057,8,4,4,4.328501922685259,2.7032913781186614,2.45178643552429
2,azután,az,után,14.427308082580566,13.696785926818848,19.908649444580078,8.161478042602539,6,2,4,4.320354032817672,6.741609849017849,5.097968400835213
2,baja,baj,a,9.681766510009766,16.34827423095703,17.201488494873047,9.759076118469238,4,3,1,4.319668091214678,5.14440917548654,7.140228930161251
2,látott,lát,ott,14.916546821594238,9.171333312988281,21.016878128051758,6.4138898849487305,6,3,3,4.313508674046074,4.081599312732936,5.565865520533478
2,hívott,hív,ott,16.221031188964844,8.28187084197998,21.688167572021484,3.9501700401306152,6,3,3,4.312304324568706,3.9635989625972416,5.565865520533478
2,magas,mag,as,11.725618362426758,13.511490821838379,16.304014205932617,5.037326335906982,5,3,2,4.3094598224612115,3.1755118133634475,3.118595365223762
2,állok,áll,ok,12.966470718383789,13.155811309814453,16.145105361938477,8.42575740814209,5,3,2,4.305415863838036,4.910149302250238,4.570554614307831
2,miféle,mi,féle,12.798880577087402,27.063039779663086,26.4350643157959,11.650106430053711,6,2,4,4.3006389546353985,6.162454474887796,3.503790683057181
2,adok,ad,ok,10.67477035522461,14.691282272338867,16.393028259277344,9.289209365844727,4,2,2,4.300508529343292,4.265996370495079,4.570554614307831
