count_of_chunks,corpus,chunk1,chunk2,chunk3,euclidean_distance_chunk1_and_chunk2,euclidean_distance_chunk1_and_chunk3,euclidean_distance_chunk2_and_chunk3,euclidean_corpus_and_chunk1,euclidean_corpus_and_chunk2,euclidean_corpus_and_chunk3,euclidean_corpus_and_all_chunks,length_corpus,length_chunk1,length_chunk2,length_chunk3,logfreq_corpus,logfreq_chunk1,logfreq_chunk2,logfreq_chunk3
3,adjátok,adj,át,ok,9.250626564025879,11.344623565673828,10.321622848510742,21.438121795654297,21.909414291381836,23.256668090820312,9.452757835388184,7,3,2,2,3.498172660636544,4.430478187932044,5.1193482825304715,4.570554614307831
3,gazdagok,gaz,dag,ok,11.530445098876953,11.049361228942871,11.495872497558594,20.739389419555664,21.251577377319336,21.565093994140625,5.956244945526123,8,3,3,2,3.4867137759824853,2.754348335711019,2.3636119798921444,4.570554614307831
3,maradtál,mar,ad,tál,11.455500602722168,15.710993766784668,15.003579139709473,20.457597732543945,22.12934112548828,13.16862678527832,8.326484680175781,8,3,2,3,3.4768316285122607,3.1245042248342823,4.265996370495079,3.1936810295412816
3,töltötte,tölt,öt,te,15.931475639343262,15.591873168945312,10.373396873474121,12.588167190551758,25.318328857421875,25.553543090820312,4.928330898284912,8,4,2,2,3.476686742945645,3.465680211598278,4.697708720591836,5.976474700373688
3,magadhoz,mag,ad,hoz,11.848569869995117,12.256815910339355,9.872429847717285,20.497713088989258,20.66890525817871,20.86503028869629,9.609370231628418,8,3,2,3,3.4712917110589387,3.1755118133634475,4.265996370495079,4.024772913079632
3,vérnyomás,vér,nyom,ás,17.331188201904297,11.44950008392334,18.7683048248291,20.498035430908203,15.620159149169922,22.56293296813965,8.137040138244629,9,3,4,2,3.4649364291217326,4.302763708472981,3.7712934426290596,2.8651039746411278
3,önmagát,ön,ma,gát,10.534445762634277,15.962400436401367,16.05510139465332,21.743553161621094,21.693675994873047,13.009507179260254,11.60977840423584,7,2,2,3,3.4608978427565478,5.066888466169809,5.35603733619072,2.8680563618230415
3,nénikém,né,ni,kém,11.127925872802734,18.8637638092041,17.21748161315918,29.008609771728516,26.511009216308594,16.289518356323242,12.62343978881836,7,2,2,3,3.457124626303409,2.649334858712142,4.016364679456294,3.63205216670581
3,késésért,kés,és,ért,14.598636627197266,17.21442222595215,10.049781799316406,14.373099327087402,26.676605224609375,27.408618927001953,7.95120096206665,8,3,2,3,3.451939869365103,3.641077313325374,6.556241936591766,4.410439786210347
3,közötti,köz,öt,ti,10.726815223693848,10.816234588623047,11.807642936706543,20.458236694335938,20.700313568115234,20.79775619506836,8.877280235290527,7,3,2,2,3.4516329474569907,2.6473829701146196,4.697708720591836,4.868462219808566
3,adjatok,ad,ja,tok,8.25330924987793,12.52869987487793,11.181563377380371,15.563019752502441,15.657102584838867,18.111961364746094,12.934313774108887,7,2,2,3,3.450557009418329,4.265996370495079,5.05815640487046,2.8779469516291885
3,történelmi,történ,el,mi,23.442670822143555,21.713916778564453,14.398317337036133,6.152788162231445,28.15777587890625,26.461259841918945,5.699827194213867,10,6,2,2,3.450403086155366,2.444044795918076,6.021003960549296,6.162454474887796
3,köszönetet,kösz,ön,etet,16.951631546020508,16.710981369018555,8.785826683044434,13.786593437194824,27.528919219970703,27.237957000732422,7.881109714508057,10,4,2,4,3.447778009294621,4.823226362800612,5.066888466169809,2.45178643552429
3,társadalmi,társa,dal,mi,22.575387954711914,23.370756149291992,11.66649341583252,10.866394996643066,26.117660522460938,26.3875732421875,10.886340141296387,10,5,3,2,3.4379090355394983,3.6231458746379395,3.8783494222177755,6.162454474887796
3,tartsátok,tarts,át,ok,14.424332618713379,16.911378860473633,10.321622848510742,14.320832252502441,25.78596305847168,27.148202896118164,6.898073673248291,9,5,2,2,3.417803722639881,3.9586116577648793,5.1193482825304715,4.570554614307831
3,önmagad,ön,mag,ad,12.548632621765137,9.706134796142578,11.848569869995117,20.37637710571289,21.36334228515625,20.35869789123535,7.7624125480651855,7,2,3,2,3.4176377396522297,5.066888466169809,3.1755118133634475,4.265996370495079
3,színésznő,szín,ész,nő,14.574243545532227,10.004616737365723,17.134788513183594,17.969337463378906,30.11801528930664,19.473190307617188,8.576701164245605,9,4,3,2,3.4158077276355434,3.3820170425748683,3.3012470886362113,4.919742107376001
3,érdekelte,érdek,el,te,18.01313591003418,15.778937339782715,12.619887351989746,14.763885498046875,27.838172912597656,26.000160217285156,8.0104341506958,9,5,2,2,3.4138025167693513,2.383815365980431,6.021003960549296,5.976474700373688
3,rendezte,rend,ez,te,12.260998725891113,11.397848129272461,10.779348373413086,19.453672409057617,21.758779525756836,21.769920349121094,8.90235424041748,8,4,2,2,3.410608542568368,3.4260230156898763,6.333684409097302,5.976474700373688
